Title,Company,Location,Requirements,Views Count,Reviews Count
Python-developer (Junior),Болі Віяс,"Ukraine
(Kyiv)",Python,94,26
Django Developer,MeTalent,Ukraine,"Django, HTML, CSS",42,3
Middle DRF Developer for Fintech project,Dataforest,Ukraine,DRF,41,9
Senior Python/Django Backend Engineer,SPD Technology,"Germany,
    Spain,
    Poland,
    Slovakia",,13,3
Python Developer (+Strong AWS),Yael Acceptic,Ukraine,"Python, AWS",122,21
Python (Django) Developer,LimestoneDigital,"Albania,
    Azerbaijan,
    Georgia,
    North Macedonia","Python, Django, Python",139,70
Python Backend Engineer( with experience in Unity development),MoveUp Recruitment agency,Ukraine,"Python, Python",56,2
Senior Software Engineer (Python),Competera,Ukraine,,24,3
Backend Python Engineer,Proxet,Poland,"Python, Flask, FastAPI, Pandas, GraphQL, Terraform",16,6
Python Developer,Cyngular Security,Israel,"Python, Python",59,16
Senior Python Backend Engineer,Develux,Poland,,377,67
Backend Developer (Python),Volindo,"Relocate,
    United Arab Emirates",Python,293,36
Senior Python Developer,EVE.calls,Ukraine,Python,151,30
Python Developer/Angular/Fullstack,rubiconmp.com,Canada,,112,32
Senior Python Engineer,Academy SMART,Ukraine,,164,23
Python Developer (AWS),Inmost,"Ukraine
(Kharkiv)","Python, Django, FastAPI, Flask, AWS",167,48
Python Quant Developer,Peanut Trade,"United Kingdom,
    Portugal,
    Ukraine
(Kyiv)",Python,387,96
Fullstack Python/React Developer,Elementica,"Ukraine
(Zaporizhzhia)",,363,46
Back End / DevOps разработчик с опытом Python / Django и AWS,TimelinesAI(part of Initech group),Israel,"Django, AWS",300,101
Full Stack Python / Django developer,TimelinesAI(part of Initech group),Israel,,379,131
Senior Node.js Developer (with Python experience),Devico,"Ukraine
(Vinnytsia, Kharkiv)","Node.js, Python",33,8
Reef Technologies Senior Python Backend Engineer,Reef Technlogies,Poland,,687,74
Senior/Lead Python developer,Lean Geeks LLC,"Armenia,
    Canada,
    Ukraine,
    United States",,50,4
Data Scientist,Playtech,Ukraine,,77,3
Senior Python Developer / Team Lead,VSBD,Ukraine,,114,15
Middle Python Engineer,Itr-soft,"Ukraine
(Kyiv)",,140,22
Strong Junior Python Developer,Inforce,"Ukraine
(Lviv)",,231,37
Middle Python Developer - Marketing automation software,NorthSouth Tech,"Ukraine,
    United States",Python,217,101
Senior Python Developer,Luxoft,"Ukraine
(Dnipro, Kyiv, Odesa)",,17,2
Python Developer (Scraping),Dataforest,Ukraine,Python,510,25
Junior Programmer,OnHires,"Ukraine
(Kyiv, Lviv)",,217,37
Middle Python Developer,Starnavi,Ukraine,"Python, Django, API, SQL, NoSQL, Docker",1033,246
Senior Python Engineer IRC217834,GlobalLogic,"Romania,
    Ukraine",,158,25
Risk Platform Developer,Atto Trading,Ukraine,,164,25
Senior Python Developer,Luxoft,Ukraine,,15,1
Senior Python Developer,Luxoft,Ukraine,,10,0
Mid Python- Backend,Unicsoft,Ukraine,"Python, Python",59,9
Python Full Stack Developer,Xedrum,"Ukraine
(Lviv)","Python, React",71,12
Python Developer,Dataforest,"Ukraine
(Kyiv)",Python,1214,157
Python Developer (Data engineering),Dataforest,Ukraine,Python,957,101
Technical Lead,Stobox,Ukraine,,230,32
Middle Python Developer,Dataforest,Ukraine,Python,132,21
Python Developer,Cleveroad,"Ukraine
(Dnipro)",Python,518,115
Python Backend Developer,Checkbox,Ukraine,Python,763,190
Python Backend Developer,Kauri.One,"Cyprus,
    Estonia,
    Ukraine",,728,191
Python Developer,Repetry,"Ukraine
(Kyiv)","Python, Django, DRF, PyTest",88,23
ML Engineer,Outstaff Your Team,"Ukraine
(Kyiv),
    Serbia,
    Armenia,
    Georgia,
    Romania",,200,37
Senior Python Engineer,GlobalLogic,Ukraine,"Python, OOP",61,20
Python Software Engineer,SQRD.tech,Poland,Python,11,0
Senior Node.js Developer (with Python experience),Devico,"Ukraine
(Vinnytsia, Kharkiv)","Node.js, Python",44,8
Strong Junior / Middle Python Developer,ElifTech,"Ukraine
(Vinnytsia, Lviv)",Python,365,97
Back-end developer (Python),AI DATAVERSE,Ukraine,,271,68
Senior Python developer,Piligrim IT,Ukraine,,45,11
Senior Python developer,Olive,Israel,Python,106,14
Python Software Engineer - VR,Devox Software,"Ukraine
(Kyiv)",Python,85,12
Tech Lead (DRF) for Fintech Project,Dataforest,Ukraine,DRF,43,3
"AI Engineer (Generative NLP, AI Agents, Prompting)",WebLab Technology,"United Arab Emirates,
    Estonia",,257,37
Senior/Middle DRF Developer for Fintech project,Dataforest,Ukraine,DRF,75,18
Python Test Automation Engineer,Dash Financial Technologies,United States,Python,117,31
Senior Python Developer,Luxoft,Ukraine,,14,4
Senior Python Developer,Luxoft,Ukraine,,53,6
Data Engineer / ETL developer (DB/BI),LvivSoft,"Ukraine
(Lviv)",SQL,91,11
Senior/Middle DRF Developer for Fintech project,Dataforest,Ukraine,DRF,144,62
Tech Lead (DRF) Fintech Project,Dataforest,Ukraine,DRF,59,16
Middle Phyton Developer,Softengi,Ukraine,,118,21
Senior Python Developer (Django + AWS),GlobalLogic,"Ukraine
(Kyiv, Lviv)",,32,4
"Developer Python , Django Templates,  Ajax,  JQuery",SENCLOUD Sp. z oo.,"Poland,
    Ukraine,
    Slovakia,
    Slovenia",django,403,92
"Python Developer, Middle - Senior",Teramind,"Bulgaria,
    Cyprus,
    Poland,
    Portugal,
    Ukraine",Python,554,148
"Senior Python Engineer, Integrations",Teramind,"Hungary,
    Poland,
    Romania,
    Ukraine",Python,223,68
Python Developer,INCOAlliance,Ukraine,Python,362,34
Full Stack Python / Django Developer,AD MEDIA PROFIT,Ukraine,,96,16
Python Back-end Developer,vidby AG,Ukraine,"Python, Python, Django",492,135
Python Developer (Scraping),Dataforest,Ukraine,Python,1237,166
Team Lead Python/DjangoDRF,Dataforest,"Ukraine
(Kyiv)","Python, Django",357,26
Senior Python Software Engineer,Dashdevs,Ukraine,Python,27,3
Senior Backend Engineer,Yoverse,"Poland,
    Ukraine",,148,49
Software Engineer who would shape the Future of Game Industry Ads,MoveUp Recruitment agency,Israel,Python,142,18
Senior Python Developer IRC220320,GlobalLogic,"Ukraine
(Vinnytsia, Zhytomyr, Ivano-Frankivsk
    
      + 9 more cities)",,35,4
Senior Full Stack Engineer (Django/React),PLANEKS,Ukraine,"Python, React",111,61
Fullstack Developer Python+Vue.js,MeGaDev,Ukraine,,51,5
"Intern/trainee analytic programmer (DAX, M, VBA, SAS, R, Python)",University of Toronto,Canada,Python,411,67
Python Developer,ADATech,"Ukraine
(Kyiv)",Python,576,207
Back-end developer,buzzabout.ai,"Poland,
    Portugal,
    Ukraine",Python,403,98
Full-Stack Python/React Developer (for 3 month project),Softblues,"Ukraine,
    Poland,
    Germany,
    United Kingdom,
    Spain",,83,19
